iter	Passed	Remaining
181	75477	131877
182	75828	131353
183	76183	130836
184	76603	130433
185	76969	129938
186	77306	129395
187	77727	128994
188	78102	128518
189	78455	128005
190	78900	127646
191	79269	127161
192	79629	126665
193	80038	126246
194	80404	125761
195	80769	125274
196	81119	124767
197	81476	124272
198	81849	123802
199	82209	123314
200	82578	122839
201	82920	122327
202	83271	121830
203	83638	121357
204	84119	121050
205	84454	120532
206	84866	120125
207	85250	119678
208	85591	119172
209	85997	118757
210	86365	118291
211	86726	117816
212	87152	117431
213	87495	116932
214	87846	116448
215	88213	115984
216	88556	115491
217	88907	115009
218	89265	114537
219	89627	114071
220	90022	113648
221	90648	113514
222	91001	113037
223	91372	112584
224	91736	112122
225	92063	111616
226	92487	111229
227	92837	110753
228	93181	110271
229	93521	109785
230	93933	109386
231	94447	109103
232	95069	108942
233	95558	108626
234	96063	108326
235	96565	108022
236	97169	107829
237	97591	107432
238	97950	106966
239	98435	106638
240	98814	106194
241	99166	105723
242	99586	105324
243	100016	104935
244	100370	104467
245	100758	104035
246	101107	103563
247	101484	103121
248	101847	102665
249	102341	102341
250	102873	102053
251	103384	101743
252	104103	101634
253	104623	101328
254	105178	101053
255	105827	100866
256	106165	100382
257	106525	99918
258	106952	99519
259	107291	99038
260	107634	98561
261	108051	98154
262	108424	97705
263	108779	97242
264	109227	96862
265	109603	96418
266	109962	95959
267	110360	95536
268	110720	95079
269	111052	94599
270	111425	94156
271	111792	93708
272	112144	93248
273	112507	92798
274	112863	92343
275	113208	91879
276	113569	91429
277	113925	90976
278	114354	90581
279	114721	90138
280	115077	89687
281	115551	89327
282	115908	88876
283	116256	88420
284	116689	88029
285	117039	87575
286	117403	87131
287	117834	86739
288	118185	86287
289	118549	85846
290	118903	85398
291	119244	84941
292	119601	84496
293	119946	84044
294	120357	83638
295	120731	83206
296	121268	82887
297	121685	82484
298	122048	82046
299	122391	81594
300	122830	81206
301	123181	80761
302	123536	80319
303	123891	79877
304	124274	79454
305	124735	79080
306	125180	78696
307	125519	78246
308	125855	77794
309	126210	77355
310	126551	76907
311	126918	76476
312	127399	76114
313	127906	75766
314	128461	75445
315	129086	75164
316	129604	74819
317	130228	74533
318	130695	74156
319	131081	73733
320	131454	73303
321	131808	72862
322	132167	72425
323	132553	72004
324	132898	71560
325	133326	71161
326	133736	70753
327	134267	70408
328	134676	69999
329	135028	69560
330	135376	69119
331	136070	68854
332	136631	68520
333	137155	68167
334	137727	67835
335	138250	67479
336	138878	67172
337	139284	66757
338	139669	66332
339	140051	65906
340	140430	65479
341	140825	65059
342	141165	64615
343	141526	64180
344	141860	63734
345	142254	63315
346	142592	62872
347	142944	62435
348	143303	62002
349	143656	61567
350	144012	61133
351	144349	60692
352	144801	60299
353	145144	59861
354	145481	59421
355	145978	59047
356	146318	58609
357	146654	58170
358	147082	57767
359	147437	57336
360	147786	56903
361	148212	56500
362	148574	56073
363	148923	55641
364	149282	55214
365	149629	54782
366	150017	54366
367	150376	53939
368	150737	53513
369	151087	53084
370	151533	52689
371	151902	52267
372	152285	51850
373	152770	51468
374	153182	51060
375	153530	50632
376	153897	50210
377	154223	49775
378	154578	49350
379	155007	48949
380	155483	48563
381	155828	48135
382	156171	47707
383	156525	47283
384	156879	46860
385	157256	46443
386	157748	46060
387	158135	45647
388	158496	45226
389	158957	44834
390	159348	44422
391	159714	44002
392	160120	43595
393	160522	43186
394	161006	42799
395	161571	42432
396	162071	42048
397	162587	41668
398	163118	41290
399	163643	40910
400	164024	40494
401	164496	40101
402	164947	39701
403	165313	39282
404	165661	38858
405	166250	38491
406	166656	38081
407	166991	37655
408	167357	37236
409	167766	36826
410	168115	36404
411	168461	35981
412	168881	35575
413	169334	35175
414	169848	34788
415	170405	34408
416	170912	34018
417	171421	33628
418	171962	33243
419	172480	32853
420	172895	32443
421	173248	32022
422	173587	31598
423	173955	31180
424	174299	30758
425	174684	30344
426	175098	29934
427	175451	29515
428	175821	29098
429	176306	28701
430	176665	28282
431	177011	27862
432	177411	27451
433	177775	27034
434	178139	26618
435	178548	26208
436	178901	25791
437	179242	25372
438	179608	24956
439	179979	24542
440	180341	24127
441	180731	23715
442	181077	23298
443	181446	22885
444	181900	22482
445	182261	22067
446	182611	21651
447	182954	21235
448	183292	20819
449	183674	20408
450	184220	20015
451	184595	19603
452	184962	19190
453	185382	18783
454	185862	18382
455	186239	17970
456	186587	17556
457	186964	17145
458	187301	16730
459	187666	16318
460	188153	15917
461	188522	15506
462	188873	15093
463	189368	14692
464	189724	14280
465	190073	13868
466	190495	13461
467	190868	13050
468	191221	12639
469	191624	12231
470	191993	11821
471	192333	11409
472	192716	11000
473	193062	10589
474	193420	10180
475	193830	9772
476	194334	9370
477	195053	8977
478	195563	8573
479	196147	8172
480	196819	7774
481	197241	7365
482	197610	6955
483	198034	6546
484	198415	6136
485	198780	5726
486	199229	5318
487	199568	4907
488	199929	4497
489	200366	4089
490	200767	3680
491	201128	3270
492	201504	2861
493	201866	2451
494	202222	2042
495	202599	1633
496	203106	1225
497	203612	817
498	204126	409
499	204633	0
